Brand Search,Ad Title,Views
Nike advertisement,WHY DO IT? | NIKE,1.3M views
Nike advertisement,Nike Football - Winner Stays,73M views
Nike advertisement,Nike - Unlimited,1.4M views
Nike advertisement,Nike Football: The Last Game full edition,209M views
Nike advertisement,"The Last Game ""Risk Everything"" - Nike Commercial",3.9M views
Apple advertisement,iPhone 17 | 3x More Scratch Resistant: Slide | Apple,271K views
Apple advertisement,Meet iPhone 17e: A Powerful iPhone at a Great Price,14M views
Apple advertisement,Vi presenterar iPhone 15 | WOW | Apple,218K views
Apple advertisement,Switch To iPhone - Commercial by Apple,878K views
Apple advertisement,Introducing iPhone 17 Pro | Apple,22M views
Coca Cola advertisement,"Coca-Cola - Happiness Factory (2006, Netherlands)",2.1M views
Coca Cola advertisement,Coca-Cola® Masterpiece,4.8M views
Coca Cola advertisement,Coca-Cola | For Everyone :30,100M views
Coca Cola advertisement,"Open The Cap, Bridge The Gap",3.4M views
Coca Cola advertisement,Coca Cola Commercial ad |Product Shoot |,1.1M views
